kategori,urun_adi,miktar,fiyat,market_adi,resim_linki
Hazır Gıda,Piyale İşkembe Çorbası 65 Gr,65 G,"19,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1004387.jpg
Hazır Gıda,Sandiviç Mr No K.sal.145g Dardanel,145g,"100,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1158671.jpg
Hazır Gıda,Tamek Barbunya Pilaki 400 Gr,400 G,"55,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_268792.jpg
Hazır Gıda,Lezita Piliç Cordon Bleu 300 Gr,300 G,"84,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_962828.jpg
Hazır Gıda,Gurumen Cevizli Çiğ Köfte 350 Gr+1 Market,350 G,"106,75",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_646991.jpg
Hazır Gıda,Dondurma Lahmacun 4 Lü 400 Gr Pek Food,400 G,"139,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1894196.jpg
Hazır Gıda,Kemsan Tavuk Suyu 105 Ml,105 Ml,"22,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1519139.jpg
Hazır Gıda,Knorr Çorba Pırpırım 72 Gr,72 G,"53,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1346085.jpg
Hazır Gıda,Dondurulmuş Pizza Tost Klasik 200 Gr Superfresh,200 G,"59,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_968984.jpg
Hazır Gıda,Tada Vegan Mısır Acı Meksika Fasulyesi 250 Gr,250 G,"71,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_267365.jpg
Hazır Gıda,Tada Domates Çorbası 250 Gr,250 G,"33,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1868043.jpg
Hazır Gıda,Fersan Elma Sirkesi Pet 500 Ml,500 Ml,"84,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_268546.jpg
Hazır Gıda,Tat Kuskus Salatalık Bowl 200 Gr,200 G,"100,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_602555.jpg
Hazır Gıda,Tukaş Barbunya Pilaki 400 Gr+1 Market,400 G,"36,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1337453.jpg
Hazır Gıda,Zel Kelle Paça Çorbası 480 Ml,480 Ml,"129,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_268569.jpg
Hazır Gıda,Tada Vegan Zeytin Yağlı Garnitür Enginar,,"20064,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1918045.jpg
Hazır Gıda,Tamek Patlıcan Kızartma 380 Gr,380 G,"99,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_632157.jpg
Hazır Gıda,Kemsan İlikli Kemik Suyu 105 Ml,105 Ml,"29,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_646997.jpg
Hazır Gıda,Zel İşkembe Çorbası 480 Ml,480 Ml,"89,95",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/80gPQqn4z8_500x500.png
